year,month,day,intake,avg_price,gap
2024,4,12,117,15450,198
2024,4,13,87,17126,1676
2024,4,15,145,17378,252
2024,4,16,140,16020,-1358
2024,4,17,128,16339,319
2024,4,18,108,16355,16
2024,4,19,131,14787,-1568
2024,4,20,103,14259,-528
2024,4,22,117,15302,1043
2024,4,23,130,14531,-771
2024,4,24,132,14542,11
2024,4,25,149,13787,-755
2024,4,26,131,14776,989
2024,4,27,109,14261,-515
2024,4,29,144,13880,-381
2024,4,30,139,12483,-1397
2024,5,1,106,13688,1205
2024,5,2,113,15566,1878
2024,5,3,141,14264,-1302
2024,5,4,124,13585,-679
2024,5,6,150,12966,-619
2024,5,7,153,11904,-1062
2024,5,8,119,12133,229
2024,5,9,142,11975,-158
2024,5,10,117,13539,1564
2024,5,11,73,13824,285
2024,5,13,159,13776,-48
2024,5,14,159,13012,-764
2024,5,15,156,12229,-783
2024,5,16,144,10641,-1588
2024,5,17,151,10520,-121
2024,5,18,99,10448,-72
2024,5,20,231,6143,-4305
2024,5,21,172,5923,-220
2024,5,22,136,5981,58
2024,5,23,147,5953,-28
2024,5,24,116,6905,952
2024,5,25,118,6153,-752
2024,5,27,164,6312,159
2024,5,28,120,6730,418
2024,5,29,107,7732,1002
2024,5,30,118,7510,-222
2024,5,31,158,6435,-1075
2024,6,1,109,6168,-267
2024,6,3,143,6656,488
2024,6,4,172,6028,-628
2024,6,5,142,6056,28
2024,6,6,111,6663,607
2024,6,7,108,7270,607
2024,6,8,96,6936,-334
2024,6,10,127,7159,223
2024,6,11,187,5794,-1365
2024,6,12,115,7031,1237
2024,6,13,121,7553,522
2024,6,14,108,8020,467
2024,6,15,149,5617,-2403
2024,6,17,133,7108,1491
2024,6,18,179,5936,-1172
2024,6,19,158,6137,201
2024,6,20,183,5631,-506
2024,6,21,118,6947,1316
2024,6,22,111,7328,381
2024,6,24,145,6982,-346
2024,6,25,141,7253,271
2024,6,26,171,6614,-639
2024,6,27,163,6915,301
2024,6,28,131,8633,1718
2024,6,29,136,9344,711
2024,7,1,137,10058,714
2024,7,2,162,9470,-588
2024,7,3,199,8037,-1433
2024,7,4,121,9949,1912
2024,7,5,225,7492,-2457
2024,7,6,131,8669,1177
2024,7,8,158,8557,-112
2024,7,9,108,10221,1664
2024,7,10,175,8578,-1643
2024,7,11,100,12150,3572
2024,7,12,154,10642,-1508
2024,7,13,149,9751,-891
2024,7,15,181,9394,-357
2024,7,16,191,8330,-1064
2024,7,17,126,11181,2851
2024,7,18,118,10717,-464
2024,7,19,114,13641,2924
2024,7,20,127,12380,-1261
2024,7,22,178,11984,-396
2024,7,23,174,11757,-227
2024,7,24,133,12700,943
2024,7,25,199,9658,-3042
2024,7,26,172,10032,374
2024,7,27,111,13421,3389
2024,7,29,177,11911,-1510
2024,7,30,202,10864,-1047
2024,7,31,148,11547,683
2024,8,1,142,12791,1244
2024,8,2,151,14172,1381
2024,8,5,187,12988,-1184
2024,8,6,170,12430,-558
2024,8,7,131,16855,4425
2024,8,8,133,17435,580
2024,8,9,156,17708,273
2024,8,10,148,17825,117
2024,8,12,193,16866,-959
2024,8,13,169,16265,-601
2024,8,14,129,19262,2997
2024,8,15,152,17259,-2003
2024,8,16,128,18359,1100
2024,8,17,125,18176,-183
2024,8,19,199,15890,-2286
2024,8,20,162,15875,-15
2024,8,21,161,16156,281
2024,8,22,144,17161,1005
2024,8,23,178,18371,1210
2024,8,24,161,19505,1134
2024,8,26,273,17616,-1889
2024,8,27,232,15783,-1833
2024,8,28,177,19714,3931
2024,8,29,200,18212,-1502
2024,8,30,156,20115,1903
2024,8,31,153,21388,1273
2024,9,2,224,20901,-487
2024,9,3,249,20771,-130
2024,9,4,222,25007,4236
2024,9,5,237,25733,726
2024,9,6,265,22691,-3042
2024,9,7,225,20785,-1906
2024,9,9,330,20724,-61
2024,9,10,364,21359,635
2024,9,11,296,23295,1936
2024,9,12,274,24291,996
2024,9,13,170,26069,1778
2024,9,14,147,41483,15414
2024,9,16,57,29964,-11519
2024,9,20,275,26568,-3396
2024,9,21,156,28933,2365
2024,9,23,162,35686,6753
2024,9,24,185,25141,-10545
2024,9,25,187,24551,-590
2024,9,26,228,19921,-4630
2024,9,27,218,21139,1218
2024,9,28,165,19198,-1941
2024,9,30,163,23019,3821
2024,10,1,131,25313,2294
2024,10,2,123,27088,1775
2024,10,3,140,27600,512
2024,10,4,164,25797,-1803
2024,10,5,129,27657,1860
2024,10,7,237,23270,-4387
2024,10,8,180,23978,708
2024,10,9,194,23251,-727
2024,10,10,218,20129,-3122
2024,10,11,175,21761,1632
2024,10,12,145,23196,1435
2024,10,14,162,26759,3563
2024,10,15,190,23515,-3244
2024,10,16,163,24031,516
2024,10,17,216,20866,-3165
2024,10,18,228,18809,-2057
2024,10,19,161,12803,-6006
2024,10,21,172,16681,3878
2024,10,22,198,15928,-753
2024,10,23,138,15589,-339
2024,10,24,180,12599,-2990
2024,10,25,242,10665,-1934
2024,10,26,197,10784,119
2024,10,28,235,9706,-1078
2024,10,29,190,11021,1315
2024,10,30,229,8753,-2268
2024,10,31,209,8692,-61
2024,11,1,203,9045,353
2024,11,2,169,9241,196
2024,11,4,231,8709,-532
2024,11,5,240,8499,-210
2024,11,6,222,8533,34
2024,11,7,225,8515,-18
2024,11,8,244,8562,47
2024,11,9,279,7627,-935
2024,11,11,268,8270,643
2024,11,12,299,6972,-1298
2024,11,13,255,7597,625
2024,11,14,272,8426,829
2024,11,15,329,8842,416
2024,11,16,370,8143,-699
2024,11,18,375,6806,-1337
2024,11,19,298,7130,324
2024,11,20,321,7489,359
2024,11,21,316,8656,1167
2024,11,22,377,9430,774
2024,11,23,404,8031,-1399
2024,11,25,304,9170,1139
2024,11,26,302,9920,750
2024,11,27,262,10067,147
2024,11,28,221,13956,3889
2024,11,29,395,9361,-4595
2024,11,30,316,8435,-926
2024,12,2,338,7313,-1122
2024,12,3,240,8498,1185
2024,12,4,206,9416,918
2024,12,5,226,10342,926
2024,12,6,281,9195,-1147
2024,12,7,187,9233,38
2024,12,9,194,8834,-399
2024,12,10,123,8842,8
2024,12,11,120,9656,814
2024,12,12,158,9477,-179
2024,12,13,177,9397,-80
2024,12,14,156,9397,0
2024,12,16,121,11615,2218
2024,12,17,164,9363,-2252
2024,12,18,72,12517,3154
2024,12,19,137,9730,-2787
2024,12,20,94,11843,2113
2024,12,21,91,12148,305
2024,12,23,134,11596,-552
2024,12,24,131,11229,-367
2024,12,25,122,10511,-718
2024,12,26,83,11464,953
2024,12,27,101,11163,-301
2024,12,28,86,11376,213
2024,12,30,101,12237,861
2024,12,31,54,17295,5058
2025,1,2,0,17295,0
2025,1,3,114,17471,176
2025,1,4,115,15956,-1515
2025,1,6,168,15386,-570
2025,1,7,151,15198,-188
2025,1,8,135,15849,651
2025,1,9,161,14175,-1674
2025,1,10,116,14097,-78
2025,1,11,67,14728,631
2025,1,13,135,14402,-326
2025,1,14,109,14701,299
2025,1,15,142,14609,-92
2025,1,16,123,14751,142
2025,1,17,167,13506,-1245
2025,1,18,96,13411,-95
2025,1,20,196,12695,-716
2025,1,21,190,12726,31
2025,1,22,174,12929,203
2025,1,23,171,12568,-361
2025,1,24,155,13200,632
2025,1,25,123,13630,430
2025,1,27,85,14861,1231
2025,1,28,27,12634,-2227
2025,2,1,68,15951,3317
2025,2,3,100,15437,-514
2025,2,4,117,15041,-396
2025,2,5,137,13944,-1097
2025,2,6,104,13938,-6
2025,2,7,85,14980,1042
2025,2,8,72,14577,-403
2025,2,10,143,15136,559
2025,2,11,152,15132,-4
2025,2,13,141,15440,308
2025,2,14,147,14342,-1098
2025,2,15,140,13722,-620
2025,2,17,152,13959,237
2025,2,18,157,13595,-364
2025,2,19,137,13224,-371
2025,2,20,113,13891,667
2025,2,21,111,14063,172
2025,2,22,85,14831,768
2025,2,24,105,15532,701
2025,2,25,127,15213,-319
2025,2,26,117,15488,275
2025,2,27,122,15119,-369
2025,2,28,114,15837,718
2025,3,1,84,15875,38
2025,3,3,136,16434,559
2025,3,4,160,16803,369
2025,3,6,229,15538,-1265
2025,3,7,231,14679,-859
2025,3,8,163,13358,-1321
2025,3,10,192,13867,509
2025,3,11,187,13160,-707
2025,3,12,180,13194,34
2025,3,13,157,13844,650
2025,3,14,173,12902,-942
2025,3,15,99,14452,1550
2025,3,17,174,14341,-111
2025,3,18,135,15782,1441
2025,3,19,177,14373,-1409
2025,3,20,222,12157,-2216
2025,3,21,187,12304,147
2025,3,22,150,12838,534
2025,3,24,185,13914,1076
2025,3,25,183,13020,-894
2025,3,26,156,12523,-497
2025,3,27,172,11601,-922
2025,3,28,144,11124,-477
2025,3,29,101,11024,-100
2025,3,31,132,14063,3039
2025,4,1,137,13460,-603
2025,4,2,127,14170,710
2025,4,3,170,14291,121
2025,4,4,169,13254,-1037
2025,4,5,134,12279,-975
2025,4,7,218,11858,-421
2025,4,8,177,11194,-664
2025,4,9,159,11624,430
2025,4,10,181,11062,-562
2025,4,11,177,9440,-1622
2025,4,12,114,9363,-77
